pmid,pmcid,title,figure_id,figure_label,figure_title,figure_url,figure_depiction,figure_legend,source_description_in_figure,target_description_in_figure,direction,source_type,target_type,note
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig1,Figure 1.,Senescence as a central hallmark of aging.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig1/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/bin/JCB_201708092_Fig1.jpg,"Telomere damage, epigenetic dysregulation, DNA damage, and mitochondrial dysfunction are primary drivers of damage in aging. Several of these drivers of damage can induce senescence. Senescence can in turn drive the consequential aging hallmarks in response to damage: stem cell exhaustion and chronic inflammation. Other responses to damage, such as proteostatic dysfunction and nutrient signaling disruption, are also integrally linked with the senescence response. Adapted from López-Otín et al. (2013).",Telomere Erosion,Senescence,posi,process,process,
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig1,Figure 1.,Senescence as a central hallmark of aging.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig1/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/bin/JCB_201708092_Fig1.jpg,"Telomere damage, epigenetic dysregulation, DNA damage, and mitochondrial dysfunction are primary drivers of damage in aging. Several of these drivers of damage can induce senescence. Senescence can in turn drive the consequential aging hallmarks in response to damage: stem cell exhaustion and chronic inflammation. Other responses to damage, such as proteostatic dysfunction and nutrient signaling disruption, are also integrally linked with the senescence response. Adapted from López-Otín et al. (2013).",DNA damage,Senescence,posi,process,process,
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig1,Figure 1.,Senescence as a central hallmark of aging.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig1/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/bin/JCB_201708092_Fig1.jpg,"Telomere damage, epigenetic dysregulation, DNA damage, and mitochondrial dysfunction are primary drivers of damage in aging. Several of these drivers of damage can induce senescence. Senescence can in turn drive the consequential aging hallmarks in response to damage: stem cell exhaustion and chronic inflammation. Other responses to damage, such as proteostatic dysfunction and nutrient signaling disruption, are also integrally linked with the senescence response. Adapted from López-Otín et al. (2013).",Mitochondrial dysfunction,Senescence,posi,process,process,
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig1,Figure 1.,Senescence as a central hallmark of aging.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig1/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/bin/JCB_201708092_Fig1.jpg,"Telomere damage, epigenetic dysregulation, DNA damage, and mitochondrial dysfunction are primary drivers of damage in aging. Several of these drivers of damage can induce senescence. Senescence can in turn drive the consequential aging hallmarks in response to damage: stem cell exhaustion and chronic inflammation. Other responses to damage, such as proteostatic dysfunction and nutrient signaling disruption, are also integrally linked with the senescence response. Adapted from López-Otín et al. (2013).",Nutrient signaling dysfunction,Senescence,posi,process,process,
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig1,Figure 1.,Senescence as a central hallmark of aging.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig1/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/bin/JCB_201708092_Fig1.jpg,"Telomere damage, epigenetic dysregulation, DNA damage, and mitochondrial dysfunction are primary drivers of damage in aging. Several of these drivers of damage can induce senescence. Senescence can in turn drive the consequential aging hallmarks in response to damage: stem cell exhaustion and chronic inflammation. Other responses to damage, such as proteostatic dysfunction and nutrient signaling disruption, are also integrally linked with the senescence response. Adapted from López-Otín et al. (2013).",Proteostatic dysfunction,Senescence,posi,process,process,
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig1,Figure 1.,Senescence as a central hallmark of aging.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig1/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/bin/JCB_201708092_Fig1.jpg,"Telomere damage, epigenetic dysregulation, DNA damage, and mitochondrial dysfunction are primary drivers of damage in aging. Several of these drivers of damage can induce senescence. Senescence can in turn drive the consequential aging hallmarks in response to damage: stem cell exhaustion and chronic inflammation. Other responses to damage, such as proteostatic dysfunction and nutrient signaling disruption, are also integrally linked with the senescence response. Adapted from López-Otín et al. (2013).",Senescence,Chronic Inflammation,posi,process,process,
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig1,Figure 1.,Senescence as a central hallmark of aging.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig1/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/bin/JCB_201708092_Fig1.jpg,"Telomere damage, epigenetic dysregulation, DNA damage, and mitochondrial dysfunction are primary drivers of damage in aging. Several of these drivers of damage can induce senescence. Senescence can in turn drive the consequential aging hallmarks in response to damage: stem cell exhaustion and chronic inflammation. Other responses to damage, such as proteostatic dysfunction and nutrient signaling disruption, are also integrally linked with the senescence response. Adapted from López-Otín et al. (2013).",Chronic Inflammation,Chronic,N/A,process,quality,
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig1,Figure 1.,Senescence as a central hallmark of aging.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig1/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/bin/JCB_201708092_Fig1.jpg,"Telomere damage, epigenetic dysregulation, DNA damage, and mitochondrial dysfunction are primary drivers of damage in aging. Several of these drivers of damage can induce senescence. Senescence can in turn drive the consequential aging hallmarks in response to damage: stem cell exhaustion and chronic inflammation. Other responses to damage, such as proteostatic dysfunction and nutrient signaling disruption, are also integrally linked with the senescence response. Adapted from López-Otín et al. (2013).",Senescence,Stem cell exhaustion,posi,process,process,
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig1,Figure 1.,Senescence as a central hallmark of aging.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig1/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/bin/JCB_201708092_Fig1.jpg,"Telomere damage, epigenetic dysregulation, DNA damage, and mitochondrial dysfunction are primary drivers of damage in aging. Several of these drivers of damage can induce senescence. Senescence can in turn drive the consequential aging hallmarks in response to damage: stem cell exhaustion and chronic inflammation. Other responses to damage, such as proteostatic dysfunction and nutrient signaling disruption, are also integrally linked with the senescence response. Adapted from López-Otín et al. (2013).",Senescence,Nutrient signaling dysfunction,posi,process,process,
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig1,Figure 1.,Senescence as a central hallmark of aging.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig1/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/bin/JCB_201708092_Fig1.jpg,"Telomere damage, epigenetic dysregulation, DNA damage, and mitochondrial dysfunction are primary drivers of damage in aging. Several of these drivers of damage can induce senescence. Senescence can in turn drive the consequential aging hallmarks in response to damage: stem cell exhaustion and chronic inflammation. Other responses to damage, such as proteostatic dysfunction and nutrient signaling disruption, are also integrally linked with the senescence response. Adapted from López-Otín et al. (2013).",Senescence,Proteostatic dysfunction,posi,process,process,
