pmid,pmcid,title,figure_id,figure_title,figure_url,node_name,node_type_annotation,node_type_prediction,result
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig1,Senescence as a central hallmark of aging.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig1/,Epigenetic factors,molecule,process,False
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig1,Senescence as a central hallmark of aging.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig1/,DNA damage,process,process,True
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig1,Senescence as a central hallmark of aging.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig1/,Stem cell exhaustion,process,process,True
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig1,Senescence as a central hallmark of aging.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig1/,Mitochondrial dysfunction,process,process,True
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig1,Senescence as a central hallmark of aging.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig1/,Proteostatic dysfunction,process,process,True
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig1,Senescence as a central hallmark of aging.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig1/,Senescence,process,process,True
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig1,Senescence as a central hallmark of aging.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig1/,Nutrient signaling dysfunction,process,process,True
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig1,Senescence as a central hallmark of aging.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig1/,Chronic Inflammation,process,process,True
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig1,Senescence as a central hallmark of aging.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig1/,Telomere Erosion,process,process,True
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig2,Pathways regulating senescence-mediated arrest.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig2/,Rb,molecule,molecule,True
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig2,Pathways regulating senescence-mediated arrest.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig2/,Telomere erosion,process,process,True
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig2,Pathways regulating senescence-mediated arrest.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig2/,p21,molecule,molecule,True
