pmid,pmcid,title,figure_id,figure_label,figure_title,figure_url,figure_depiction,source_description_in_figure,lv2_source,source_type,target_description_in_figure,lv2_target,target_type,direction
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig1,Figure 1.,Senescence as a central hallmark of aging.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig1/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/bin/JCB_201708092_Fig1.jpg,Telomere Erosion,http://purl.bioontology.org/ontology/HOIP/HOIP_0060049,process,Senescence,http://purl.obolibrary.org/obo/GO_0090398,process,posi
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig1,Figure 1.,Senescence as a central hallmark of aging.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig1/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/bin/JCB_201708092_Fig1.jpg,DNA damage,http://purl.obolibrary.org/obo/NCIT_C16507,process,Senescence,http://purl.obolibrary.org/obo/GO_0090398,process,posi
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig1,Figure 1.,Senescence as a central hallmark of aging.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig1/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/bin/JCB_201708092_Fig1.jpg,Mitochondrial dysfunction,http://purl.bioontology.org/ontology/HOIP/HOIP_0002361,process,Senescence,http://purl.obolibrary.org/obo/GO_0090398,process,posi
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig1,Figure 1.,Senescence as a central hallmark of aging.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig1/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/bin/JCB_201708092_Fig1.jpg,Nutrient signaling dysfunction,http://purl.bioontology.org/ontology/HOIP/HOIP_0002130,process,Senescence,http://purl.obolibrary.org/obo/GO_0090398,process,posi
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig1,Figure 1.,Senescence as a central hallmark of aging.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig1/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/bin/JCB_201708092_Fig1.jpg,Proteostatic dysfunction,http://purl.bioontology.org/ontology/HOIP/HOIP_0060493,process,Senescence,http://purl.obolibrary.org/obo/GO_0090398,process,posi
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig1,Figure 1.,Senescence as a central hallmark of aging.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig1/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/bin/JCB_201708092_Fig1.jpg,Senescence,http://purl.obolibrary.org/obo/GO_0090398,process,Chronic Inflammation,http://purl.obolibrary.org/obo/GO_0006954,process,posi
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig1,Figure 1.,Senescence as a central hallmark of aging.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig1/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/bin/JCB_201708092_Fig1.jpg,Senescence,http://purl.obolibrary.org/obo/GO_0090398,process,Stem cell exhaustion,http://purl.bioontology.org/ontology/HOIP/HOIP_0040446,process,posi
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig1,Figure 1.,Senescence as a central hallmark of aging.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig1/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/bin/JCB_201708092_Fig1.jpg,Senescence,http://purl.obolibrary.org/obo/GO_0090398,process,Nutrient signaling dysfunction,http://purl.bioontology.org/ontology/HOIP/HOIP_0002130,process,posi
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig1,Figure 1.,Senescence as a central hallmark of aging.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig1/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/bin/JCB_201708092_Fig1.jpg,Senescence,http://purl.obolibrary.org/obo/GO_0090398,process,Proteostatic dysfunction,http://purl.bioontology.org/ontology/HOIP/HOIP_0060493,process,posi
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig1,Figure 1.,Senescence as a central hallmark of aging.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig1/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/bin/JCB_201708092_Fig1.jpg,Epigenetic factors,http://purl.bioontology.org/ontology/HOIP/HOIP_0060897,molecule,Senescence,http://purl.obolibrary.org/obo/GO_0090398,process,posi
