pmid,pmcid,title,figure_id,figure_title,figure_url,node_annotation,node_prediction,node_type,result
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig1,Senescence as a central hallmark of aging.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig1/,stem cell exhaustion,stem cell exhaustion,PROCESS,True Positive
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig1,Senescence as a central hallmark of aging.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig1/,proteostatic dysfunction,proteostatic dysfunction,PROCESS,True Positive
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig1,Senescence as a central hallmark of aging.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig1/,mitochondrial dysfunction,mitochondrial dysfunction,PROCESS,True Positive
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig1,Senescence as a central hallmark of aging.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig1/,chronic inflammation,chronic inflammation,PROCESS,True Positive
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig1,Senescence as a central hallmark of aging.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig1/,senescence,senescence,PROCESS,True Positive
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig1,Senescence as a central hallmark of aging.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig1/,dna damage,dna damage,PROCESS,True Positive
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig1,Senescence as a central hallmark of aging.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig1/,nutrient signaling dysfunction,,PROCESS,False Negative
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig1,Senescence as a central hallmark of aging.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig1/,epigenetic factors,,MOLECULE,False Negative
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig1,Senescence as a central hallmark of aging.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig1/,telomere erosion,,PROCESS,False Negative
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig1,Senescence as a central hallmark of aging.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig1/,,epigenetic dysregulation,,False Positive
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig1,Senescence as a central hallmark of aging.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig1/,,nutrient signaling disruption,,False Positive
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig1,Senescence as a central hallmark of aging.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig1/,,telomere damage,,False Positive
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig2,Pathways regulating senescence-mediated arrest.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig2/,ddr,ddr,PROCESS,True Positive
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig2,Pathways regulating senescence-mediated arrest.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig2/,ink4a/arf locus,ink4a/arf locus,MOLECULE,True Positive
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig2,Pathways regulating senescence-mediated arrest.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig2/,cdk4/6,cdk4/6,MOLECULE,True Positive
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig2,Pathways regulating senescence-mediated arrest.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig2/,inflammation,,PROCESS,False Negative
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig2,Pathways regulating senescence-mediated arrest.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig2/,arf,,MOLECULE,False Negative
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig2,Pathways regulating senescence-mediated arrest.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig2/,telomere erosion,,PROCESS,False Negative
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig2,Pathways regulating senescence-mediated arrest.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig2/,mdm2,,MOLECULE,False Negative
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig2,Pathways regulating senescence-mediated arrest.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig2/,mitochondrial dysfunction,,PROCESS,False Negative
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig2,Pathways regulating senescence-mediated arrest.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig2/,p21,,MOLECULE,False Negative
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig2,Pathways regulating senescence-mediated arrest.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig2/,ros,,COMPOUND,False Negative
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig2,Pathways regulating senescence-mediated arrest.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig2/,rb,,MOLECULE,False Negative
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig2,Pathways regulating senescence-mediated arrest.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig2/,oncogene overexpression,,PROCESS,False Negative
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig2,Pathways regulating senescence-mediated arrest.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig2/,ink4a/arf induction,,PROCESS,False Negative
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig2,Pathways regulating senescence-mediated arrest.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig2/,dna damage,,PROCESS,False Negative
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig2,Pathways regulating senescence-mediated arrest.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig2/,jmj3d,,MOLECULE,False Negative
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig2,Pathways regulating senescence-mediated arrest.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig2/,p53,,MOLECULE,False Negative
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig2,Pathways regulating senescence-mediated arrest.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig2/,p16,,MOLECULE,False Negative
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig2,Pathways regulating senescence-mediated arrest.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig2/,g1 arrest,,PROCESS,False Negative
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig2,Pathways regulating senescence-mediated arrest.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig2/,,p16ink4a/rb,,False Positive
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig2,Pathways regulating senescence-mediated arrest.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig2/,,dna-scars,,False Positive
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig2,Pathways regulating senescence-mediated arrest.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig2/,,p53/p21cip1,,False Positive
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig2,Pathways regulating senescence-mediated arrest.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig2/,,senescence growth arrest,,False Positive
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig2,Pathways regulating senescence-mediated arrest.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig2/,,polycomb repressive complexes,,False Positive
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig2,Pathways regulating senescence-mediated arrest.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig2/,,dna damage response,,False Positive
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig2,Pathways regulating senescence-mediated arrest.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig2/,,prcs,,False Positive
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig3,Functions of the SASP.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig3/,sasp,sasp,PROCESS,True Positive
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig3,Functions of the SASP.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig3/,tissue remodeling,,PROCESS,False Negative
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig3,Functions of the SASP.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig3/,cd4+ t cell,,CELL,False Negative
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig3,Functions of the SASP.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig3/,autocrine senescence,,PROCESS,False Negative
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig3,Functions of the SASP.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig3/,nk cell,,CELL,False Negative
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig3,Functions of the SASP.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig3/,paracrine senescence,,PROCESS,False Negative
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig3,Functions of the SASP.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig3/,immune cell recruitment,,PROCESS,False Negative
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig3,Functions of the SASP.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig3/,macrophage,,CELL,False Negative
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig3,Functions of the SASP.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig3/,,tgf-β,,False Positive
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig3,Functions of the SASP.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig3/,,nk cells,,False Positive
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig3,Functions of the SASP.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig3/,,vegf,,False Positive
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig3,Functions of the SASP.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig3/,,macrophages,,False Positive
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig3,Functions of the SASP.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig3/,,mmps,,False Positive
29114066,PMC5748990,"Senescence and aging: Causes, consequences, and therapeutic avenues",fig3,Functions of the SASP.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748990/figure/fig3/,,neutrophils,,False Positive
33262144,PMC7706700,Senescence and the SASP: many therapeutic avenues,GAD343129BIRF1,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7706700/figure/GAD343129BIRF1/,tumor promotion,,PROCESS,False Negative
33262144,PMC7706700,Senescence and the SASP: many therapeutic avenues,GAD343129BIRF1,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7706700/figure/GAD343129BIRF1/,wound healing/fibrosis resolution,,PROCESS,False Negative
33262144,PMC7706700,Senescence and the SASP: many therapeutic avenues,GAD343129BIRF1,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7706700/figure/GAD343129BIRF1/,cell fate/differentiation,,PROCESS,False Negative
33262144,PMC7706700,Senescence and the SASP: many therapeutic avenues,GAD343129BIRF1,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7706700/figure/GAD343129BIRF1/,immune evasion,,PROCESS,False Negative
